t,outcome,"Static(0.5)_belief","Static(0.5)_brier","Static(0.5)_log","Bayes(1,1)_belief","Bayes(1,1)_brier","Bayes(1,1)_log","MLE_belief","MLE_brier","MLE_log"
270,1,0.5,0.75,-0.693147,0.503676,0.753663,-0.685821,0.503704,0.75369,-0.685767
271,1,0.5,0.75,-0.693147,0.505495,0.755464,-0.682218,0.505535,0.755504,-0.682138
272,0,0.5,0.75,-0.693147,0.507299,0.742647,-0.707853,0.507353,0.742593,-0.707962
273,1,0.5,0.75,-0.693147,0.505455,0.755425,-0.682297,0.505495,0.755464,-0.682218
274,1,0.5,0.75,-0.693147,0.507246,0.757194,-0.678758,0.507299,0.757246,-0.678654
275,0,0.5,0.75,-0.693147,0.509025,0.740893,-0.711363,0.509091,0.740826,-0.711496
276,1,0.5,0.75,-0.693147,0.507194,0.757142,-0.678861,0.507246,0.757194,-0.678758
277,1,0.5,0.75,-0.693147,0.508961,0.75888,-0.675385,0.509025,0.758944,-0.675258
278,1,0.5,0.75,-0.693147,0.510714,0.760599,-0.671945,0.510791,0.760675,-0.671794
279,1,0.5,0.75,-0.693147,0.512456,0.7623,-0.668541,0.512545,0.762387,-0.668367
280,0,0.5,0.75,-0.693147,0.514184,0.735614,-0.721926,0.514286,0.73551,-0.722135
281,1,0.5,0.75,-0.693147,0.512367,0.762215,-0.668713,0.512456,0.7623,-0.668541
282,0,0.5,0.75,-0.693147,0.514085,0.735717,-0.721721,0.514184,0.735614,-0.721926
283,1,0.5,0.75,-0.693147,0.512281,0.76213,-0.668883,0.512367,0.762215,-0.668713
284,0,0.5,0.75,-0.693147,0.513986,0.735818,-0.721518,0.514085,0.735717,-0.721721
285,1,0.5,0.75,-0.693147,0.512195,0.762046,-0.66905,0.512281,0.76213,-0.668883
286,1,0.5,0.75,-0.693147,0.513889,0.763696,-0.665748,0.513986,0.76379,-0.665559
287,0,0.5,0.75,-0.693147,0.515571,0.734187,-0.724784,0.515679,0.734075,-0.725008
288,0,0.5,0.75,-0.693147,0.513793,0.736017,-0.721121,0.513889,0.735918,-0.721318
289,0,0.5,0.75,-0.693147,0.512027,0.737828,-0.717496,0.512111,0.737743,-0.717667
290,1,0.5,0.75,-0.693147,0.510274,0.760168,-0.672807,0.510345,0.760238,-0.672669
291,1,0.5,0.75,-0.693147,0.511945,0.761803,-0.669537,0.512027,0.761883,-0.669377
292,1,0.5,0.75,-0.693147,0.513605,0.76342,-0.6663,0.513699,0.763511,-0.666119
293,0,0.5,0.75,-0.693147,0.515254,0.734513,-0.724131,0.515358,0.734406,-0.724346
294,1,0.5,0.75,-0.693147,0.513514,0.763331,-0.666479,0.513605,0.76342,-0.6663
295,0,0.5,0.75,-0.693147,0.515152,0.734619,-0.723919,0.515254,0.734513,-0.724131
296,1,0.5,0.75,-0.693147,0.513423,0.763243,-0.666656,0.513514,0.763331,-0.666479
297,0,0.5,0.75,-0.693147,0.51505,0.734723,-0.72371,0.515152,0.734619,-0.723919
298,1,0.5,0.75,-0.693147,0.513333,0.763156,-0.66683,0.513423,0.763243,-0.666656
299,0,0.5,0.75,-0.693147,0.51495,0.734826,-0.723504,0.51505,0.734723,-0.72371
300,1,0.5,0.75,-0.693147,0.513245,0.76307,-0.667002,0.513333,0.763156,-0.66683
301,1,0.5,0.75,-0.693147,0.514851,0.764631,-0.663877,0.51495,0.764727,-0.663685
302,0,0.5,0.75,-0.693147,0.516447,0.733282,-0.726595,0.516556,0.73317,-0.72682
303,1,0.5,0.75,-0.693147,0.514754,0.764536,-0.664066,0.514851,0.764631,-0.663877
304,1,0.5,0.75,-0.693147,0.51634,0.766073,-0.66099,0.516447,0.766177,-0.660782
305,0,0.5,0.75,-0.693147,0.517915,0.731764,-0.729635,0.518033,0.731642,-0.729879
306,0,0.5,0.75,-0.693147,0.516234,0.733503,-0.726153,0.51634,0.733393,-0.726373
307,1,0.5,0.75,-0.693147,0.514563,0.764351,-0.664437,0.514658,0.764443,-0.664253
308,1,0.5,0.75,-0.693147,0.516129,0.765869,-0.661398,0.516234,0.76597,-0.661196
309,1,0.5,0.75,-0.693147,0.517685,0.767372,-0.658389,0.517799,0.767483,-0.658167
310,0,0.5,0.75,-0.693147,0.519231,0.730399,-0.732368,0.519355,0.730271,-0.732626
311,1,0.5,0.75,-0.693147,0.517572,0.767263,-0.658607,0.517685,0.767372,-0.658389
312,1,0.5,0.75,-0.693147,0.519108,0.768743,-0.655643,0.519231,0.768861,-0.655407
313,1,0.5,0.75,-0.693147,0.520635,0.770209,-0.652706,0.520767,0.770336,-0.652453
314,1,0.5,0.75,-0.693147,0.522152,0.771661,-0.649797,0.522293,0.771796,-0.649527
315,0,0.5,0.75,-0.693147,0.523659,0.725781,-0.741622,0.52381,0.725624,-0.741937
316,1,0.5,0.75,-0.693147,0.522013,0.771528,-0.650064,0.522152,0.771661,-0.649797
317,0,0.5,0.75,-0.693147,0.523511,0.725936,-0.741311,0.523659,0.725781,-0.741622
318,1,0.5,0.75,-0.693147,0.521875,0.771396,-0.650327,0.522013,0.771528,-0.650064
319,1,0.5,0.75,-0.693147,0.523364,0.772819,-0.647477,0.523511,0.772958,-0.647197
320,1,0.5,0.75,-0.693147,0.524845,0.774227,-0.644653,0.525,0.774375,-0.644357
321,1,0.5,0.75,-0.693147,0.526316,0.775623,-0.641854,0.52648,0.775779,-0.641542
322,0,0.5,0.75,-0.693147,0.527778,0.721451,-0.750306,0.52795,0.721268,-0.750671
323,0,0.5,0.75,-0.693147,0.526154,0.723162,-0.746873,0.526316,0.722992,-0.747214
324,0,0.5,0.75,-0.693147,0.52454,0.724858,-0.743472,0.524691,0.724699,-0.743791
325,0,0.5,0.75,-0.693147,0.522936,0.726538,-0.740104,0.523077,0.726391,-0.7404
326,1,0.5,0.75,-0.693147,0.521341,0.770886,-0.65135,0.521472,0.771011,-0.651099
327,0,0.5,0.75,-0.693147,0.522796,0.726684,-0.739812,0.522936,0.726538,-0.740104
328,1,0.5,0.75,-0.693147,0.521212,0.770762,-0.651598,0.521341,0.770886,-0.65135
329,0,0.5,0.75,-0.693147,0.522659,0.726828,-0.739523,0.522796,0.726684,-0.739812
330,1,0.5,0.75,-0.693147,0.521084,0.77064,-0.651843,0.521212,0.770762,-0.651598
331,1,0.5,0.75,-0.693147,0.522523,0.772015,-0.649087,0.522659,0.772145,-0.648827
332,1,0.5,0.75,-0.693147,0.523952,0.773378,-0.646355,0.524096,0.773516,-0.64608
333,1,0.5,0.75,-0.693147,0.525373,0.774729,-0.643647,0.525526,0.774874,-0.643357
334,1,0.5,0.75,-0.693147,0.526786,0.776068,-0.640961,0.526946,0.77622,-0.640657
335,1,0.5,0.75,-0.693147,0.52819,0.777395,-0.638299,0.528358,0.777554,-0.637981
336,0,0.5,0.75,-0.693147,0.529586,0.719539,-0.754142,0.529762,0.719352,-0.754516
337,1,0.5,0.75,-0.693147,0.528024,0.777238,-0.638614,0.52819,0.777395,-0.638299
338,1,0.5,0.75,-0.693147,0.529412,0.778547,-0.635989,0.529586,0.77871,-0.63566
339,0,0.5,0.75,-0.693147,0.530792,0.71826,-0.756709,0.530973,0.718067,-0.757096
340,0,0.5,0.75,-0.693147,0.52924,0.719905,-0.753406,0.529412,0.719723,-0.753772
341,1,0.5,0.75,-0.693147,0.527697,0.77693,-0.639233,0.527859,0.777083,-0.638926
342,1,0.5,0.75,-0.693147,0.52907,0.778225,-0.636635,0.52924,0.778385,-0.636314
343,0,0.5,0.75,-0.693147,0.530435,0.718639,-0.755948,0.530612,0.718451,-0.756326
344,1,0.5,0.75,-0.693147,0.528902,0.778066,-0.636953,0.52907,0.778225,-0.636635
345,0,0.5,0.75,-0.693147,0.530259,0.718825,-0.755575,0.530435,0.718639,-0.755948
346,0,0.5,0.75,-0.693147,0.528736,0.720439,-0.752336,0.528902,0.720263,-0.752689
347,1,0.5,0.75,-0.693147,0.527221,0.77648,-0.640136,0.527378,0.776628,-0.639839
348,1,0.5,0.75,-0.693147,0.528571,0.777755,-0.637577,0.528736,0.77791,-0.637267
349,0,0.5,0.75,-0.693147,0.529915,0.719191,-0.754841,0.530086,0.719009,-0.755205
350,0,0.5,0.75,-0.693147,0.528409,0.720784,-0.751643,0.528571,0.720612,-0.751988
351,0,0.5,0.75,-0.693147,0.526912,0.722364,-0.748474,0.527066,0.722202,-0.748798
352,0,0.5,0.75,-0.693147,0.525424,0.72393,-0.745333,0.525568,0.723778,-0.745637
353,0,0.5,0.75,-0.693147,0.523944,0.725483,-0.742219,0.524079,0.725341,-0.742504
354,0,0.5,0.75,-0.693147,0.522472,0.727023,-0.739132,0.522599,0.72689,-0.739398
355,0,0.5,0.75,-0.693147,0.521008,0.72855,-0.736072,0.521127,0.728427,-0.736319
356,0,0.5,0.75,-0.693147,0.519553,0.730065,-0.733039,0.519663,0.72995,-0.733267
357,0,0.5,0.75,-0.693147,0.518106,0.731566,-0.730031,0.518207,0.731461,-0.730241
358,0,0.5,0.75,-0.693147,0.516667,0.733056,-0.727049,0.51676,0.732959,-0.727241
359,0,0.5,0.75,-0.693147,0.515235,0.734532,-0.724092,0.51532,0.734445,-0.724267
360,0,0.5,0.75,-0.693147,0.513812,0.735997,-0.72116,0.513889,0.735918,-0.721318
361,1,0.5,0.75,-0.693147,0.512397,0.762243,-0.668656,0.512465,0.76231,-0.668522
362,0,0.5,0.75,-0.693147,0.513736,0.736075,-0.721004,0.513812,0.735997,-0.72116
363,0,0.5,0.75,-0.693147,0.512329,0.737519,-0.718114,0.512397,0.73745,-0.718253
364,0,0.5,0.75,-0.693147,0.510929,0.738952,-0.715248,0.510989,0.73889,-0.71537
365,0,0.5,0.75,-0.693147,0.509537,0.740372,-0.712405,0.509589,0.740319,-0.712512
366,0,0.5,0.75,-0.693147,0.508152,0.741781,-0.709586,0.508197,0.741736,-0.709676
367,1,0.5,0.75,-0.693147,0.506775,0.756729,-0.679688,0.506812,0.756766,-0.679615
368,1,0.5,0.75,-0.693147,0.508108,0.758042,-0.677061,0.508152,0.758086,-0.676974
369,1,0.5,0.75,-0.693147,0.509434,0.759345,-0.674455,0.509485,0.759395,-0.674355
370,1,0.5,0.75,-0.693147,0.510753,0.760637,-0.67187,0.510811,0.760694,-0.671756
371,1,0.5,0.75,-0.693147,0.512064,0.761919,-0.669305,0.512129,0.761982,-0.669178
372,0,0.5,0.75,-0.693147,0.513369,0.736452,-0.720249,0.513441,0.736378,-0.720397
373,1,0.5,0.75,-0.693147,0.512,0.761856,-0.669431,0.512064,0.761919,-0.669305
374,0,0.5,0.75,-0.693147,0.513298,0.736525,-0.720103,0.513369,0.736452,-0.720249
375,1,0.5,0.75,-0.693147,0.511936,0.761794,-0.669555,0.512,0.761856,-0.669431
376,0,0.5,0.75,-0.693147,0.513228,0.736598,-0.719958,0.513298,0.736525,-0.720103
377,1,0.5,0.75,-0.693147,0.511873,0.761732,-0.669678,0.511936,0.761794,-0.669555
378,1,0.5,0.75,-0.693147,0.513158,0.762985,-0.667172,0.513228,0.763053,-0.667036
379,1,0.5,0.75,-0.693147,0.514436,0.764227,-0.664685,0.514512,0.764301,-0.664537
380,0,0.5,0.75,-0.693147,0.515707,0.734046,-0.725065,0.515789,0.733961,-0.725235
381,1,0.5,0.75,-0.693147,0.51436,0.764154,-0.664831,0.514436,0.764227,-0.664685
382,0,0.5,0.75,-0.693147,0.515625,0.734131,-0.724896,0.515707,0.734046,-0.725065
383,1,0.5,0.75,-0.693147,0.514286,0.764082,-0.664976,0.51436,0.764154,-0.664831
384,1,0.5,0.75,-0.693147,0.515544,0.765302,-0.662533,0.515625,0.765381,-0.662376
385,0,0.5,0.75,-0.693147,0.516796,0.732922,-0.727316,0.516883,0.732832,-0.727497
386,0,0.5,0.75,-0.693147,0.515464,0.734297,-0.724563,0.515544,0.734214,-0.724729
387,1,0.5,0.75,-0.693147,0.514139,0.763939,-0.665262,0.514212,0.76401,-0.66512
388,0,0.5,0.75,-0.693147,0.515385,0.734379,-0.7244,0.515464,0.734297,-0.724563
389,0,0.5,0.75,-0.693147,0.514066,0.735736,-0.721683,0.514139,0.735661,-0.721832
390,0,0.5,0.75,-0.693147,0.512755,0.737082,-0.718988,0.512821,0.737015,-0.719123
391,1,0.5,0.75,-0.693147,0.51145,0.761319,-0.670505,0.511509,0.761376,-0.67039
392,1,0.5,0.75,-0.693147,0.51269,0.762529,-0.668083,0.512755,0.762592,-0.667957
393,0,0.5,0.75,-0.693147,0.513924,0.735882,-0.72139,0.513995,0.735809,-0.721536
394,0,0.5,0.75,-0.693147,0.512626,0.737214,-0.718724,0.51269,0.737149,-0.718856
395,0,0.5,0.75,-0.693147,0.511335,0.738537,-0.716078,0.511392,0.738478,-0.716196
396,1,0.5,0.75,-0.693147,0.51005,0.759949,-0.673246,0.510101,0.759999,-0.673147
397,0,0.5,0.75,-0.693147,0.511278,0.738595,-0.715962,0.511335,0.738537,-0.716078
398,0,0.5,0.75,-0.693147,0.51,0.7399,-0.71335,0.51005,0.739849,-0.713452
399,1,0.5,0.75,-0.693147,0.508728,0.758652,-0.675841,0.508772,0.758695,-0.675755
400,1,0.5,0.75,-0.693147,0.50995,0.759851,-0.673442,0.51,0.7599,-0.673345
401,0,0.5,0.75,-0.693147,0.511166,0.738709,-0.715733,0.511222,0.738652,-0.715847
402,1,0.5,0.75,-0.693147,0.509901,0.759803,-0.673539,0.50995,0.759851,-0.673442
403,1,0.5,0.75,-0.693147,0.511111,0.760988,-0.671168,0.511166,0.761042,-0.67106
404,1,0.5,0.75,-0.693147,0.512315,0.762164,-0.668815,0.512376,0.762223,-0.668696
405,1,0.5,0.75,-0.693147,0.513514,0.763331,-0.666479,0.51358,0.763396,-0.666349
406,1,0.5,0.75,-0.693147,0.514706,0.76449,-0.66416,0.514778,0.76456,-0.664019
407,0,0.5,0.75,-0.693147,0.515892,0.733855,-0.725448,0.515971,0.733774,-0.725609
408,0,0.5,0.75,-0.693147,0.514634,0.735152,-0.722852,0.514706,0.735078,-0.723
409,1,0.5,0.75,-0.693147,0.513382,0.763203,-0.666735,0.513447,0.763267,-0.666608
410,0,0.5,0.75,-0.693147,0.514563,0.735225,-0.722706,0.514634,0.735152,-0.722852
411,0,0.5,0.75,-0.693147,0.513317,0.736505,-0.720143,0.513382,0.736439,-0.720276
412,1,0.5,0.75,-0.693147,0.512077,0.761931,-0.66928,0.512136,0.761989,-0.669165
413,1,0.5,0.75,-0.693147,0.513253,0.763077,-0.666986,0.513317,0.76314,-0.666861
414,1,0.5,0.75,-0.693147,0.514423,0.764215,-0.664709,0.514493,0.764283,-0.664574
415,1,0.5,0.75,-0.693147,0.515588,0.765345,-0.662448,0.515663,0.765417,-0.662303
416,0,0.5,0.75,-0.693147,0.516746,0.732973,-0.727214,0.516827,0.73289,-0.72738
417,0,0.5,0.75,-0.693147,0.515513,0.734246,-0.724665,0.515588,0.734169,-0.724819
418,1,0.5,0.75,-0.693147,0.514286,0.764082,-0.664976,0.514354,0.764148,-0.664843
419,0,0.5,0.75,-0.693147,0.515439,0.734322,-0.724513,0.515513,0.734246,-0.724665
420,0,0.5,0.75,-0.693147,0.514218,0.73558,-0.721995,0.514286,0.73551,-0.722135
421,1,0.5,0.75,-0.693147,0.513002,0.762833,-0.667475,0.513064,0.762893,-0.667354
422,0,0.5,0.75,-0.693147,0.514151,0.735649,-0.721857,0.514218,0.73558,-0.721995
423,0,0.5,0.75,-0.693147,0.512941,0.736891,-0.71937,0.513002,0.736829,-0.719496
424,0,0.5,0.75,-0.693147,0.511737,0.738125,-0.716901,0.511792,0.738068,-0.717015
425,1,0.5,0.75,-0.693147,0.510539,0.760428,-0.672289,0.510588,0.760476,-0.672192
426,0,0.5,0.75,-0.693147,0.511682,0.738181,-0.716789,0.511737,0.738125,-0.716901
427,0,0.5,0.75,-0.693147,0.51049,0.7394,-0.714349,0.510539,0.73935,-0.71445
428,0,0.5,0.75,-0.693147,0.509302,0.740611,-0.711927,0.509346,0.740567,-0.712016
429,0,0.5,0.75,-0.693147,0.508121,0.741813,-0.709522,0.508159,0.741775,-0.709599
430,0,0.5,0.75,-0.693147,0.506944,0.743007,-0.707133,0.506977,0.742975,-0.707199
431,0,0.5,0.75,-0.693147,0.505774,0.744193,-0.704762,0.5058,0.744166,-0.704816
432,0,0.5,0.75,-0.693147,0.504608,0.74537,-0.702407,0.50463,0.745349,-0.70245
433,0,0.5,0.75,-0.693147,0.503448,0.74654,-0.700068,0.503464,0.746524,-0.7001
434,1,0.5,0.75,-0.693147,0.502294,0.752288,-0.688571,0.502304,0.752299,-0.688549
435,1,0.5,0.75,-0.693147,0.503432,0.753421,-0.686306,0.503448,0.753436,-0.686274
436,1,0.5,0.75,-0.693147,0.504566,0.754545,-0.684056,0.504587,0.754566,-0.684015
437,0,0.5,0.75,-0.693147,0.505695,0.744273,-0.704602,0.505721,0.744246,-0.704655
438,1,0.5,0.75,-0.693147,0.504545,0.754525,-0.684097,0.504566,0.754545,-0.684056
439,0,0.5,0.75,-0.693147,0.505669,0.744299,-0.70455,0.505695,0.744273,-0.704602
440,1,0.5,0.75,-0.693147,0.504525,0.754504,-0.684138,0.504545,0.754525,-0.684097
441,0,0.5,0.75,-0.693147,0.505643,0.744325,-0.704498,0.505669,0.744299,-0.70455
442,0,0.5,0.75,-0.693147,0.504505,0.745475,-0.702197,0.504525,0.745455,-0.702238
443,0,0.5,0.75,-0.693147,0.503371,0.746618,-0.699912,0.503386,0.746603,-0.699942
444,1,0.5,0.75,-0.693147,0.502242,0.752237,-0.688673,0.502252,0.752247,-0.688653
445,0,0.5,0.75,-0.693147,0.503356,0.746633,-0.699881,0.503371,0.746618,-0.699912
446,0,0.5,0.75,-0.693147,0.502232,0.747763,-0.697621,0.502242,0.747753,-0.697642
447,1,0.5,0.75,-0.693147,0.501114,0.751112,-0.690922,0.501119,0.751117,-0.690913
448,0,0.5,0.75,-0.693147,0.502222,0.747773,-0.697602,0.502232,0.747763,-0.697621
449,1,0.5,0.75,-0.693147,0.501109,0.751107,-0.690932,0.501114,0.751112,-0.690922
450,1,0.5,0.75,-0.693147,0.502212,0.752207,-0.688732,0.502222,0.752217,-0.688713
451,0,0.5,0.75,-0.693147,0.503311,0.746678,-0.699792,0.503326,0.746663,-0.699821
452,1,0.5,0.75,-0.693147,0.502203,0.752198,-0.688752,0.502212,0.752207,-0.688732
453,1,0.5,0.75,-0.693147,0.503297,0.753286,-0.686575,0.503311,0.7533,-0.686546
454,1,0.5,0.75,-0.693147,0.504386,0.754367,-0.684414,0.504405,0.754386,-0.684375
455,1,0.5,0.75,-0.693147,0.50547,0.755441,-0.682266,0.505495,0.755464,-0.682218
456,1,0.5,0.75,-0.693147,0.50655,0.756507,-0.680132,0.506579,0.756536,-0.680075
457,0,0.5,0.75,-0.693147,0.507625,0.742317,-0.708515,0.507659,0.742283,-0.708583
458,0,0.5,0.75,-0.693147,0.506522,0.743436,-0.706276,0.50655,0.743407,-0.706334
459,0,0.5,0.75,-0.693147,0.505423,0.744548,-0.704052,0.505447,0.744524,-0.7041
460,0,0.5,0.75,-0.693147,0.504329,0.745652,-0.701843,0.504348,0.745633,-0.701881
461,0,0.5,0.75,-0.693147,0.50324,0.74675,-0.699648,0.503254,0.746736,-0.699676
462,0,0.5,0.75,-0.693147,0.502155,0.74784,-0.697467,0.502165,0.747831,-0.697486
463,1,0.5,0.75,-0.693147,0.501075,0.751074,-0.690999,0.50108,0.751079,-0.69099
464,1,0.5,0.75,-0.693147,0.502146,0.752141,-0.688865,0.502155,0.752151,-0.688846
465,1,0.5,0.75,-0.693147,0.503212,0.753202,-0.686744,0.503226,0.753215,-0.686716
466,1,0.5,0.75,-0.693147,0.504274,0.754255,-0.684636,0.504292,0.754273,-0.6846
467,0,0.5,0.75,-0.693147,0.50533,0.744641,-0.703865,0.505353,0.744618,-0.703912
468,1,0.5,0.75,-0.693147,0.504255,0.754237,-0.684673,0.504274,0.754255,-0.684636
469,0,0.5,0.75,-0.693147,0.505308,0.744664,-0.70382,0.50533,0.744641,-0.703865
470,0,0.5,0.75,-0.693147,0.504237,0.745745,-0.701658,0.504255,0.745727,-0.701694
471,0,0.5,0.75,-0.693147,0.503171,0.746819,-0.69951,0.503185,0.746805,-0.699537
472,1,0.5,0.75,-0.693147,0.50211,0.752105,-0.688937,0.502119,0.752114,-0.688919
473,1,0.5,0.75,-0.693147,0.503158,0.753148,-0.686851,0.503171,0.753161,-0.686825
474,0,0.5,0.75,-0.693147,0.504202,0.745781,-0.701586,0.504219,0.745763,-0.701622
475,0,0.5,0.75,-0.693147,0.503145,0.746845,-0.699456,0.503158,0.746832,-0.699483
476,1,0.5,0.75,-0.693147,0.502092,0.752088,-0.688972,0.502101,0.752096,-0.688954
477,0,0.5,0.75,-0.693147,0.503132,0.746859,-0.69943,0.503145,0.746845,-0.699456
478,1,0.5,0.75,-0.693147,0.502083,0.752079,-0.688989,0.502092,0.752088,-0.688972
479,1,0.5,0.75,-0.693147,0.503119,0.753109,-0.68693,0.503132,0.753122,-0.686904
480,1,0.5,0.75,-0.693147,0.504149,0.754132,-0.684883,0.504167,0.754149,-0.684848
481,1,0.5,0.75,-0.693147,0.505176,0.755149,-0.682848,0.505198,0.75517,-0.682806
482,0,0.5,0.75,-0.693147,0.506198,0.743763,-0.705621,0.506224,0.743737,-0.705673
483,0,0.5,0.75,-0.693147,0.505155,0.744819,-0.70351,0.505176,0.744797,-0.703553
484,1,0.5,0.75,-0.693147,0.504115,0.754098,-0.68495,0.504132,0.754115,-0.684917
485,0,0.5,0.75,-0.693147,0.505133,0.74484,-0.703467,0.505155,0.744819,-0.70351
486,0,0.5,0.75,-0.693147,0.504098,0.745885,-0.701378,0.504115,0.745868,-0.701412
487,0,0.5,0.75,-0.693147,0.503067,0.746923,-0.699301,0.50308,0.74691,-0.699326
488,1,0.5,0.75,-0.693147,0.502041,0.752037,-0.689074,0.502049,0.752045,-0.689057
489,1,0.5,0.75,-0.693147,0.503055,0.753046,-0.687056,0.503067,0.753058,-0.687031
490,1,0.5,0.75,-0.693147,0.504065,0.754049,-0.68505,0.504082,0.754065,-0.685017
491,1,0.5,0.75,-0.693147,0.505071,0.755045,-0.683056,0.505092,0.755066,-0.683015
492,1,0.5,0.75,-0.693147,0.506073,0.756036,-0.681075,0.506098,0.75606,-0.681026
493,0,0.5,0.75,-0.693147,0.507071,0.742879,-0.70739,0.507099,0.74285,-0.707448
494,1,0.5,0.75,-0.693147,0.506048,0.756012,-0.681123,0.506073,0.756036,-0.681075
495,1,0.5,0.75,-0.693147,0.507042,0.756993,-0.679161,0.507071,0.757021,-0.679105
496,1,0.5,0.75,-0.693147,0.508032,0.757968,-0.677211,0.508065,0.757999,-0.677147
497,1,0.5,0.75,-0.693147,0.509018,0.758937,-0.675272,0.509054,0.758972,-0.675201
498,1,0.5,0.75,-0.693147,0.51,0.7599,-0.673345,0.51004,0.759939,-0.673266
499,1,0.5,0.75,-0.693147,0.510978,0.760858,-0.671429,0.511022,0.760901,-0.671343
500,1,0.5,0.75,-0.693147,0.511952,0.761809,-0.669524,0.512,0.761856,-0.669431
501,1,0.5,0.75,-0.693147,0.512922,0.762755,-0.667631,0.512974,0.762806,-0.66753
502,1,0.5,0.75,-0.693147,0.513889,0.763696,-0.665748,0.513944,0.76375,-0.665641
503,0,0.5,0.75,-0.693147,0.514851,0.734928,-0.7233,0.514911,0.734867,-0.723422
504,1,0.5,0.75,-0.693147,0.513834,0.763643,-0.665855,0.513889,0.763696,-0.665748
505,1,0.5,0.75,-0.693147,0.514793,0.764574,-0.663991,0.514851,0.764631,-0.663877
506,1,0.5,0.75,-0.693147,0.515748,0.7655,-0.662137,0.51581,0.76556,-0.662016
507,0,0.5,0.75,-0.693147,0.516699,0.733022,-0.727116,0.516765,0.732954,-0.727253
508,1,0.5,0.75,-0.693147,0.515686,0.76544,-0.662257,0.515748,0.7655,-0.662137
509,0,0.5,0.75,-0.693147,0.516634,0.733089,-0.726981,0.516699,0.733022,-0.727116
510,0,0.5,0.75,-0.693147,0.515625,0.734131,-0.724896,0.515686,0.734068,-0.725022
511,1,0.5,0.75,-0.693147,0.51462,0.764406,-0.664327,0.514677,0.764462,-0.664216
512,0,0.5,0.75,-0.693147,0.515564,0.734194,-0.72477,0.515625,0.734131,-0.724896
513,0,0.5,0.75,-0.693147,0.514563,0.735225,-0.722706,0.51462,0.735166,-0.722823
514,1,0.5,0.75,-0.693147,0.513566,0.763382,-0.666377,0.513619,0.763433,-0.666274
515,1,0.5,0.75,-0.693147,0.514507,0.764296,-0.664547,0.514563,0.764351,-0.664437
516,0,0.5,0.75,-0.693147,0.515444,0.734317,-0.724522,0.515504,0.734256,-0.724646
517,1,0.5,0.75,-0.693147,0.514451,0.764242,-0.664655,0.514507,0.764296,-0.664547
518,0,0.5,0.75,-0.693147,0.515385,0.734379,-0.7244,0.515444,0.734317,-0.724522
519,1,0.5,0.75,-0.693147,0.514395,0.764188,-0.664763,0.514451,0.764242,-0.664655
520,0,0.5,0.75,-0.693147,0.515326,0.734439,-0.724278,0.515385,0.734379,-0.7244
521,1,0.5,0.75,-0.693147,0.51434,0.764135,-0.66487,0.514395,0.764188,-0.664763
522,0,0.5,0.75,-0.693147,0.515267,0.7345,-0.724157,0.515326,0.734439,-0.724278
523,0,0.5,0.75,-0.693147,0.514286,0.73551,-0.722135,0.51434,0.735454,-0.722247
524,1,0.5,0.75,-0.693147,0.513308,0.763131,-0.666879,0.513359,0.76318,-0.66678
525,1,0.5,0.75,-0.693147,0.514231,0.764029,-0.665082,0.514286,0.764082,-0.664976
526,1,0.5,0.75,-0.693147,0.515152,0.764922,-0.663294,0.515209,0.764978,-0.663182
527,1,0.5,0.75,-0.693147,0.516068,0.76581,-0.661517,0.516129,0.765869,-0.661398
528,1,0.5,0.75,-0.693147,0.516981,0.766693,-0.659749,0.517045,0.766755,-0.659624
529,0,0.5,0.75,-0.693147,0.517891,0.731789,-0.729585,0.517958,0.731719,-0.729725
530,0,0.5,0.75,-0.693147,0.516917,0.732797,-0.727567,0.516981,0.732731,-0.7277
531,0,0.5,0.75,-0.693147,0.515947,0.733798,-0.725562,0.516008,0.733736,-0.725686
532,0,0.5,0.75,-0.693147,0.514981,0.734794,-0.723568,0.515038,0.734736,-0.723684
533,0,0.5,0.75,-0.693147,0.514019,0.735785,-0.721585,0.514071,0.735731,-0.721693
534,0,0.5,0.75,-0.693147,0.51306,0.73677,-0.719614,0.513109,0.73672,-0.719714
535,0,0.5,0.75,-0.693147,0.512104,0.737749,-0.717654,0.51215,0.737703,-0.717746
536,1,0.5,0.75,-0.693147,0.511152,0.761028,-0.671087,0.511194,0.761069,-0.671006
537,1,0.5,0.75,-0.693147,0.512059,0.761914,-0.669315,0.512104,0.761958,-0.669227
538,1,0.5,0.75,-0.693147,0.512963,0.762795,-0.667552,0.513011,0.762842,-0.667458
539,1,0.5,0.75,-0.693147,0.513863,0.763671,-0.665798,0.513915,0.763721,-0.665698
540,1,0.5,0.75,-0.693147,0.51476,0.764542,-0.664054,0.514815,0.764595,-0.663948
541,1,0.5,0.75,-0.693147,0.515654,0.765409,-0.66232,0.515712,0.765465,-0.662207
542,0,0.5,0.75,-0.693147,0.516544,0.733182,-0.726795,0.516605,0.733119,-0.726921
543,0,0.5,0.75,-0.693147,0.515596,0.73416,-0.724837,0.515654,0.734101,-0.724955
544,1,0.5,0.75,-0.693147,0.514652,0.764437,-0.664264,0.514706,0.76449,-0.66416
545,1,0.5,0.75,-0.693147,0.515539,0.765298,-0.662542,0.515596,0.765353,-0.662431
546,1,0.5,0.75,-0.693147,0.516423,0.766154,-0.660828,0.516484,0.766212,-0.660712
547,1,0.5,0.75,-0.693147,0.517304,0.767005,-0.659124,0.517367,0.767066,-0.659002
